日付,話題
2026-05-27,【超入門】Claude Codeの使い方〜初心者が1日でCLAUDE.mdとskillsを作る最短手順〜
2026-05-27,LLMのローカル実行ツール「Ollama」が「Codex」アプリに対応／v0.24.0がリリース
2026-05-27,ChatGPTに「職場でバカって言う人どう思う？」って聞いたら「許せないね！」→「私が言ったんだよね」って返したら「気持ちわかるよ」って言ってきたから適当
2026-05-27,Codex が SKILL.md を 220 行で打ち切っていた話
2026-05-27,【完全版】AIセキュリティ地獄絵図2026 - CVE・攻撃手法・防御策を全部解説する - Qiita
2026-05-27,ドコモのネットワークはなぜ遅かったのか　体制確立で反転への手応え【石野純也のモバイル通信SE】
2026-05-27,「7-Zip」にヒープバッファーオーバーフローの脆弱性、最新版への更新を／CVSSスコアは「8.8」（High）、GitHubが報告
2026-05-27,今日は新卒研修で情報系卒の子が「Javaなんてレガシーでやる必要ない」と言ってたのがハイライト⇒これから現実知るんだろうな…
2026-05-27,GitHub - microsoft/Webwright: A simple SWE style browser agent framework that achieves SOTA results on long horizon web tasks.
2026-05-28,「JWT を localStorage に置くな」はなぜ言われるのか、Cookie 回帰までの時系列整理
2026-05-28,クオンツトレーダーがLLMをどこに使うべきか — 「アルファの最終層に置かない」設計入門 - Qiita
2026-05-28,Anthropic、脆弱性を自動修正する「Claude Code」プラグイン
2026-05-28,アンカー、Soundcoreなど製品別ブランド廃止。Ankerに統合
2026-05-28,エンジニアに事業目線は要らない(給与が上がらなくていいなら)｜柳川慶太
2026-05-28,Webエンジニアなら知っておきたいIaCの歴史 - Fenrir Engineers
2026-05-28,CLIツール開発言語として OCaml を使ってみている - エムスリーテックブログ
2026-05-28,Anthropic、「Claude Code」向けにセキュリティ監査プラグインを無償提供／3つのレイヤーでコードベースからリアルタイムで脆弱性を検出・修正
2026-05-28,dialogタグで面倒が減る！ 見直したいハンバーガーメニューの作り方 - ICS MEDIA
2026-05-28,「Prompt API」が安定版に、超効率モデル「Gemma 197M」も ～「Google Chrome」の組み込みAI機能が拡充／早期機能をぜひ試してみよう
